Model,Accuracy,Precision,Recall,F1 (weighted),F1 (macro),ROC-AUC
Stacking (Ensemble),0.8706,0.8192,0.8706,0.8247,0.247,0.732
XGBoost (Baseline),0.8683,0.8186,0.8683,0.8182,0.2134,0.7169
LightGBM (Baseline),0.866,0.812,0.866,0.8167,0.2172,0.7126
LightGBM (Tuned),0.8656,0.8148,0.8656,0.8156,0.2128,0.7084
Random Forest (Baseline),0.8651,0.8049,0.8651,0.815,0.1821,0.6926
Soft Voting (Ensemble),0.8683,0.8241,0.8683,0.8146,0.1917,0.7358
Hard Voting (Ensemble),0.8673,0.8254,0.8673,0.8124,0.1739,N/A
Logistic Regression (Baseline),0.8653,0.8051,0.8653,0.8097,0.1567,0.7208
SVM (Baseline),0.866,0.8145,0.866,0.8091,0.1658,0.72
Naive Bayes (Baseline),0.8552,0.7677,0.8552,0.7964,0.0815,0.5824
Decision Tree (Baseline),0.799,0.7801,0.799,0.7892,0.209,0.5834
